,benchmark,run,total_time,top_kernel_time_percent,top_kernel_time_ms,top_kernel_calls,top_kernel_avg,top_kernel_min,top_kernel_max,top_kernel_sig,device,power_profiling_count,avg_mW,min_mW,max_mW
0,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/fvcorr.domn.097K', '', '', '']",1788.6954447889339,83.86,1500.0,6000,0.249883,0.247042,0.295394,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",78,103539.73,63562.0,132456.0
1,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/fvcorr.domn.193K', '', '', '']",3576.6070565490577,82.76,2960.0,6000,0.492772,0.488868,0.578053,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",134,108807.31,63657.0,136154.0
2,/home/st1289/rodinia_3.1/cuda/cfd,"['./euler3d', '../../data/cfd/missile.domn.0.2M', '', '']",4740.327640292786,86.07,4080.0,6000,0.679655,0.597188,0.729734,"cuda_compute_flux(int, int*, float*, float*,","Device ""Tesla K40c (0)""",165,104794.17,63941.0,125482.0
3,/home/st1289/rodinia_3.1/cuda/nn,"['./nn', 'filelist_4', '-r', '5', '-lat', '30', '-lng', '90']",0.05980477223427332,59.93,0.035841,1,0.035841,0.035841,0.035841,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,66065.75,64036.0,70547.0
4,/home/st1289/rodinia_3.1/cuda/srad/srad_v1,"['./srad', '100', '0.5', '502', '458']",21.659364334470986,46.88,10.15391,200,0.050769,0.045249,0.056352,"reduce(long, int, int, float*,","Device ""Tesla K40c (0)""",5,71933.2,63941.0,90120.0
5,/home/st1289/rodinia_3.1/cuda/kmeans,"['./kmeans', '-o', '-i', '../../data/kmeans/kdd_cup', '']",32.561967488789236,35.68,11.61811,5,2.323621,0.0008,10.97124,[CUDA memcpy,"Device ""Tesla K40c (0)""",25,64099.4,63831.0,66874.0
6,/home/st1289/rodinia_3.1/cuda/myocyte,"['./myocyte.out', '100', '1', '0']",302.5197624190065,92.6,280.1333,3900,0.071829,0.068353,0.096321,"kernel(int, float*, float*, float*,","Device ""Tesla K40c (0)""",60,77554.57,64036.0,79015.0
7,/home/st1289/rodinia_3.1/cuda/srad/srad_v2,"['./srad', '2048', '2048', '0', '127', '0', '127', '0.5', '2']",11.888485632183908,34.8,4.137193,2,2.068596,2.021908,2.115285,[CUDA memcpy,"Device ""Tesla K40c (0)""",9,71564.22,63941.0,78095.0
8,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', '192.bmp', '-d', '192x192', '-f', '-5', '-l', '3']",0.24561699948796722,39.06,0.095938,9,0.010659,0.00854,0.014849,"void dwt_cuda::fdwt53Kernel<int=64, int=8>(int const *, int*, int, int,","Device ""Tesla K40c (0)""",4,65503.25,63941.0,68488.0
9,/home/st1289/rodinia_3.1/cuda/dwt2d,"['./dwt2d', 'rgb.bmp', '-d', '1024x1024', '-f', '-5', '-l', '3']",2.496989247311828,49.29,1.230766,3,0.410255,0.409508,0.411269,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65639.25,63941.0,69032.0
