,benchmark,run,total_time,top_kernel_time_percent,top_kernel_time_ms,top_kernel_calls,top_kernel_avg,top_kernel_min,top_kernel_max,top_kernel_sig,device,power_profiling_count,avg_mW,min_mW,max_mW
0,/home/st1289/rodinia_3.1/cuda/lavaMD,"['./lavaMD', '-boxes1d', '10']",18.726313527452454,93.07,17.42858,1,17.42858,17.42858,17.42858,"kernel_gpu_cuda(par_str, dim_str, box_str*, FOUR_VECTOR*, double*,","Device ""Tesla K40c (0)""",4,65452.75,63566.0,70169.0
1,/home/st1289/rodinia_3.1/cuda/nw,"['./needle', '2048', '10']",12.73534131349078,30.91,3.936494,2,1.968247,1.931223,2.005271,[CUDA memcpy,"Device ""Tesla K40c (0)""",4,65403.25,63562.0,69789.0
2,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-f', '../../data/gaussian/matrix4.txt']",0.026280164802825193,33.98,0.00893,3,0.00298,0.00237,0.00419,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",4,65030.5,63657.0,68109.0
3,/home/st1289/rodinia_3.1/cuda/gaussian,"['./gaussian', '-s', '16']",0.08400219298245613,45.6,0.038305,15,0.00255,0.00234,0.00355,"Fan1(float*, float*, int,","Device ""Tesla K40c (0)""",3,64352.67,63566.0,64983.0
4,/home/st1289/rodinia_3.1/cuda/hotspot3D,"['./3D', '512', '8', '100', '../../data/hotspot3D/power_512x8', '../../data/hotspot3D/temp_512x8', 'output.out']",31.62380038387716,88.57,28.0092,100,0.280092,0.279298,0.282082,"hotspotOpt1(float*, float*, float*, float, int, int, int, float, float, float, float, float, float,","Device ""Tesla K40c (0)""",88,78095.38,63657.0,100698.0
5,/home/st1289/rodinia_3.1/cuda/heartwall,"['./heartwall', '../../data/heartwall/test.avi', '20']",473.34254310779465,99.17,469.4138,20,23.47069,0.016384,24.72873,,"Device ""Tesla K40c (0)""",14,94961.29,63752.0,115269.0
6,/home/st1289/rodinia_3.1/cuda/particlefilter,"['./particlefilter_naive', '-x', '128', '-y', '128', '-z', '10', '-np', '1000']",3.0498253598645215,94.48,2.881475,9,0.320163,0.278756,0.36298,"kernel(double*, double*, double*, double*, double*, double*,","Device ""Tesla K40c (0)""",4,65811.25,64130.0,69151.0
7,/home/st1289/rodinia_3.1/cuda/particlefilter,"['./particlefilter_float', '-x', '128', '-y', '128', '-z', '10', '-np', '1000']",8.352932266361817,34.99,2.922691,9,0.324743,0.324548,0.324868,"normalize_weights_kernel(double*, int, double*, double*, double*,","Device ""Tesla K40c (0)""",4,67391.25,64130.0,73008.0
8,/home/st1289/rodinia_3.1/cuda/hotspot,"['./hotspot', '512', '2', '2', '../../data/hotspot/temp_512', '../../data/hotspot/power_512', 'output.out']",0.42265679621632735,48.63,0.205538,2,0.102769,0.102561,0.102977,[CUDA memcpy,"Device ""Tesla K40c (0)""",8,70758.5,63752.0,77717.0
9,/home/st1289/rodinia_3.1/cuda/b+tree,"['./b+tree.out', 'file', '../../data/b+tree/mil.txt', 'command', '../../data/b+tree/command.txt']",6.095874953294307,80.29,4.894378,15,0.326291,0.00486,2.26626,[CUDA memcpy,"Device ""Tesla K40c (0)""",35,64291.71,63847.0,71400.0
